"id","name","city_ids/id"
"l10n_cl_electronic_invoicing.ur_Ova","Ovalle","l10n_cl_toponym.CL04301,l10n_cl_toponym.CL04302,l10n_cl_toponym.CL04303,l10n_cl_toponym.CL04304,l10n_cl_toponym.CL04305"
"l10n_cl_electronic_invoicing.ur_Pan","Panguipulli","l10n_cl_toponym.CL14108"
"l10n_cl_electronic_invoicing.ur_Par","Parral","l10n_cl_toponym.CL07404,l10n_cl_toponym.CL07405"
"l10n_cl_electronic_invoicing.ur_Pic","Pichilemu","l10n_cl_toponym.CL06201,l10n_cl_toponym.CL06202,l10n_cl_toponym.CL06203,l10n_cl_toponym.CL06204,l10n_cl_toponym.CL06206"
"l10n_cl_electronic_invoicing.ur_Por","Porvenir","l10n_cl_toponym.CL12301,l10n_cl_toponym.CL12302,l10n_cl_toponym.CL12303"
"l10n_cl_electronic_invoicing.ur_PuM","Puerto Montt","l10n_cl_toponym.CL10101,l10n_cl_toponym.CL10102,l10n_cl_toponym.CL10106,l10n_cl_toponym.CL10108,l10n_cl_toponym.CL10403"
"l10n_cl_electronic_invoicing.ur_PuN","Puerto Natales","l10n_cl_toponym.CL12401,l10n_cl_toponym.CL12402"
"l10n_cl_electronic_invoicing.ur_PuV","Puerto Varas","l10n_cl_toponym.CL10103,l10n_cl_toponym.CL10104,l10n_cl_toponym.CL10105,l10n_cl_toponym.CL10107,l10n_cl_toponym.CL10109"
"l10n_cl_electronic_invoicing.ur_PuA","Punta Arenas","l10n_cl_toponym.CL12101,l10n_cl_toponym.CL12102,l10n_cl_toponym.CL12103,l10n_cl_toponym.CL12104,l10n_cl_toponym.CL12201"
"l10n_cl_electronic_invoicing.ur_Qui","Quillota","l10n_cl_toponym.CL05501,l10n_cl_toponym.CL05502,l10n_cl_toponym.CL05503,l10n_cl_toponym.CL05504,l10n_cl_toponym.CL05505,l10n_cl_toponym.CL05506,l10n_cl_toponym.CL05507"
